,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],name,gamma [rad],alpha [deg],CL_wing [-],CL_htp [-],battery_power [W],motor_input_power [W],powertrain_power_input [W],l_d_ratio,CD_tot,CD0,CD0_flaps,CD_ind_wing,CD_ind_htp,cd_delta_e,rpm [rpm],shaft_power [W]
70,280.0,1333.7932631131266,13968.890662648904,1435.9726081477654,51.77382943313909,48.515240363497895,0.1544856203597339,2,1.2068733910473777,,,2269.9219208084132,1.0,False,,sizing:main_route:climb,0.09360626843280008,8.134123327578447,1.039061532044782,0.16781185900259565,156256.24951514823,12505.708502862364,,14.868439895429633,0.08200476107253044,0.03419019813706738,0.0,0.0418241064539477,0.005935168288055632,5.528819345974013e-05,4115.7656955155135,11739.681293546068
71,284.0,1353.150385809859,14175.079344267593,1435.9726081477654,51.823099557753174,48.51489986466922,0.1546674546419066,2,1.2068949080777218,,,2269.656282901467,1.0,False,,sizing:main_route:climb,0.09358806988238068,8.134367945650709,1.0390788193032376,0.16781608877448442,156268.12409748847,12506.658865268992,,14.868550030464293,0.0820051029956199,0.03419019813706738,0.0,0.0418240623855084,0.005935551749082148,5.52907239619778e-05,4119.566229237303,11739.681206828383
72,288.0,1372.5221736386325,14381.464596164817,1435.9726081477654,51.87247535096504,48.51455815897102,0.15484972055967455,2,1.206916528152148,,,2269.388277828024,1.0,False,,sizing:main_route:climb,0.09356971106405744,8.13461411522439,1.0390961854444392,0.1678203427077092,156280.03267272608,12507.61194824051,,14.868661587277849,0.08200543981194436,0.03419019813706738,0.0,0.04182401085136818,0.0059359375442789,5.5293279229871864e-05,4123.373823373228,11739.681428754526
73,292.0,1391.9086258346624,14588.04684287502,1435.9726081477654,51.921957089112425,48.51421524121235,0.15503241937309012,2,1.2069382515658356,,,2269.117903730767,1.0,False,,sizing:main_route:climb,0.09355119185115336,8.13486183924816,1.039113630710345,0.16782462085549044,156291.97544321552,12508.567767972012,,14.868774567197466,0.08200577153251884,0.03419019813706738,0.0,0.041823951857849935,0.005936325678289811,5.529585931171753e-05,4127.188495420352,11739.681968372395
74,296.0,1411.3097415923153,14794.826510044637,1435.9726081477654,51.97154504936452,48.51387110617978,0.1552155523464736,2,1.2069600786018837,,,2268.8451587675972,1.0,False,,sizing:main_route:climb,0.09353251212100057,8.135111120638031,1.0391311553398637,0.16782892326201976,156303.95261289488,12509.526340785349,,14.868888972209987,0.0820060981675845,0.03419019813706738,0.0,0.04182388541110102,0.005936716155113922,5.52984643021757e-05,4131.010262933605,11739.682834829751
75,300.0,1430.7255200656589,15001.804024435363,1435.9726081477654,52.02123950971809,48.51352574862968,0.1553991207484106,2,1.2069820095498485,,,2268.570041111933,1.0,False,,sizing:main_route:climb,0.0935136717488434,8.135361962296816,1.039148759570988,0.1678332499788604,156315.96438728974,12510.487683129424,,14.869004803597448,0.08200641972785093,0.03419019813706738,0.0,0.04182381151726615,0.0059371089792632755,5.5301094254113464e-05,4134.839143525947,11739.684037374403
76,304.0,1450.1559603677536,15208.979813927539,1435.9726081477654,52.07104074900808,48.51317916329689,0.15558312585179054,2,1.2070040446917203,,,2268.2925489524905,1.0,False,,sizing:main_route:climb,0.09349467061333536,8.135614367144436,1.0391664436440151,0.16783760104770534,156328.0109735186,12511.451811580602,,14.869122063166564,0.08200673622363515,0.03419019813706738,0.0,0.04182373018273288,0.005937504154557793,5.530374927709748e-05,4138.675154868673,11739.685585354497
77,308.0,1469.6010615710736,15416.354307523423,1435.9726081477654,52.12094904690571,48.512831344888994,0.1557675689338103,2,1.2070261843244825,,,2268.012680493507,1.0,False,,sizing:main_route:climb,0.09347550859343312,8.135868338121801,1.0391842078019915,0.16784197652249105,156340.09258029668,12512.418742843076,,14.86924075255244,0.0820070476663362,0.03419019813706738,0.0,0.04182364141417087,0.0059379016856820465,5.530642941589509e-05,4142.518314691602,11739.687488218735
78,312.0,1489.0608227072946,15623.927935350574,1435.9726081477654,52.170964683919344,48.512482288084676,0.15595245127598373,2,1.2070484287344498,,,2267.730433954845,1.0,False,,sizing:main_route:climb,0.09345618556795636,8.13612387816084,1.0392020522875012,0.1678463764469488,156352.20941794047,12513.388493749168,,14.869360873118787,0.08200735406671844,0.03419019813706738,0.0,0.041823545218281966,0.005938301576598233,5.530913477087067e-05,4146.368640783241,11739.68975551663
79,316.0,1508.5352427669818,15831.701128665183,1435.9726081477654,52.221087941403205,48.51213198753985,0.15613777416417618,2,1.207070778212471,,,2267.4458075718553,1.0,False,,sizing:main_route:climb,0.09343670141911864,8.136380990171638,1.0392199773412492,0.16785080087122176,156364.3616983722,12514.361081259722,,14.869482426747627,0.08200765543586994,0.03419019813706738,0.0,0.04182344160168544,0.0059387038317122295,5.531186540487836e-05,4150.22615099109,11739.692396898708
